name,price,oldPrice
"Кассеты для станка Gillette Fusion ProGlide сменные 2шт",1350.0,1790
"Одноразовые станки Gillette Blue 3 Simple sensitive 4шт",319.0,399
"Чистящее средство для сантехники Cillit BANG Антиналет + блеск 750мл",359.0,519
"Укрепитель для ногтей Luxvisage Dimond Hard с микроблеском 9г",178.0,275
"Регенерирующий крем для лица от морщин Aravia Laboratories Anti-age с ретинолом 50мл",929.0,1250
"Влажные салфетки для интимной гигиены INSO Sensitive Care 20шт",125.0,125
"Картридж Аквафор B100-5 сменный для фильтра - кувшина 2шт",583.0,799
"Стойкая крем-гель краска для волос Estel Color Signature 3/01 Чёрный жемчуг",489.0,489
"Масло для губ Essence Hydra kiss lip oil 03 4мл",355.0,355
"Тинт для губ Luxvisage Lip Tint Aqua Gel 03 , Deep Ruby , 3,4мл",230.0,355
"Омолаживающая сыворотка для лица с пептидами Aravia Laboratories Anti-Age Deep Serum 30мл",599.0,919
"Стойкая крем - краска для седых волос Estel Великая 7/7 Русый коричневый",599.0,599
"Праймер для области вокруг глаз в стике Essence Jelly Grip 4,6г",377.0,377
"Жидкость для снятия лака Чистая сила без ацетона , с помпой 200мл",199.0,199
"Тушь для ресниц Essence Lash without limits extreme lengthening & volume 01 13мл",459.0,459
"Крем для лица Benabi день / ночь , с змеиным пептидом 50мл",995.0,1990
"Кассеты для станка Gillette Fusion сменные 6шт",2790.0,3490
"Осветлитель для волос Estel Color Signature Blond",489.0,489
"Жидкость для укладки волос Тафт Объем Очень сильная фиксация (3) 150мл",411.0,549
"Карандаш для губ Stellary Lipliner 09 1,35г",289.0,289
"Фруктовая сыворотка для волос Ollin Professional Perfect Hair ' Fresh mix ' 120мл",399.0,399
"Тушь для ресниц Art-Visage Chicago Черная 15мл",449.0,449
"Элементы питания Opticell AAA LR03 4шт",399.0,399
"Тушь для ресниц с эффектом рокового объема Vivienne Sabo Cabaret Legende Noir 01 9мл",649.0,649
"Гипоаллергенный лак для волос Тафт без запаха сверхсильная фиксация (4) 225мл",319.0,449
"Спрей - кондиционер для волос Valori Professional термозащита , насыщенный блеск 200мл",299.0,299
"Мужской станок Gillette Fusion для бритья + сменные кассеты 2шт",1260.0,1590
"Жидкость для фумигатора от комаров Zondex 60 ночей 40мл",99.0,99
"Насадки для электрической зубной щетки D.I.E.S. средней жесткости 4шт",299.0,399
"Автоматический карандаш для бровей Vivienne Sabo Brow Arcade 07 , 0,1г",535.0,535
"Женские одноразовые станки для бритья Spa 4 Me Sensitive 2 лезвия 5шт",69.0,125
"Чистящее средство для стекол и поверхностей Mr.Muscle ' Утренняя роса ' 530мл",335.0,335
"Увлажняющий шампунь KeraSys Moisturizing для сухих волос 400мл",799.0,799
"Увлажняющий крем для лица с гиалуроновой кислотой Aravia Laboratories Hyaluron Filler Hydrating Cream 50мл",279.0,399
"Восковые полоски Floresan DEEP depil для депиляции с ромашкой для чувствительной кожи 20шт",199.0,199
"Гидрофильное гель - масло для умывания Mixit Your skin Mango Cleansing Oil 150мл",411.0,549
"Кассета Барьер сменная для фильтра ' Стандарт ' 1шт",299.0,399
"Тушь для ресниц Luxvisage Arabian Night Drama volume Черный 8г",245.0,377
"Тоник для лица Planeta Organica Pure ' Тонус и свежесть ' 200мл",209.0,299
"Стойкая крем-гель краска для волос Estel Color Signature 6/4 Индийский сандал",489.0,489
"Универсальная салфетка из микрофибры Guten Tag , Серый , 30*30см",45.0,69
"Женские одноразовые станки для бритья Venus Simply 2 лезвия 2шт",179.0,229
"Пинцет Ameli для бровей скошенный с волновой резьбой",149.0,149
"Кассеты для станка Gillette Fusion Power сменные 4шт",2090.0,2650
"Жидкие румяна для лица Essence Baby got blush 30 10мл",409.0,409
"Жидкость ФИТОкосметик для снятия лака ' Быстрый эффект ' 30мл",49.0,49
"Тушь для ресниц с эффектом объёма и удлинения Vivienne Sabo ' Exctentrique ' , Черный , 9мл",249.0,529
"Крем для депиляции Velvet ультраделикатный для зоны бикини 125мл",218.0,299
"Увлажняющий кондиционер для сухих волос Katsuri 500мл",749.0,749
"Консилер для лица Catrice Liquid camouflage 005 5мл",419.0,419
